"X","DIC","Set","Pattern","Mesh"
1,-5530.0081505508,"Set1","Pattern1","Mesh1"
2,-4910.05346429201,"Set1","Pattern2","Mesh1"
3,-6200.96544501572,"Set1","Pattern3","Mesh1"
4,-6294.78667171388,"Set1","Pattern4","Mesh1"
5,-5584.43224863287,"Set1","Pattern5","Mesh1"
6,-2889.96208579197,"Set2","Pattern6","Mesh1"
7,-8113.92351240471,"Set2","Pattern7","Mesh1"
8,-5767.70912026753,"Set2","Pattern8","Mesh1"
9,-3750.05026073744,"Set2","Pattern9","Mesh1"
10,-11465.76113561,"Set2","Pattern10","Mesh1"
11,-260.875783622494,"Set3","Pattern11","Mesh1"
12,-279.450571219357,"Set3","Pattern12","Mesh1"
13,-348.868288920563,"Set3","Pattern13","Mesh1"
14,-358.437009244663,"Set3","Pattern14","Mesh1"
15,-400.804532867927,"Set3","Pattern15","Mesh1"
16,-119.51384315292,"Set4","Pattern16","Mesh1"
17,-561.759140963529,"Set4","Pattern17","Mesh1"
18,-346.355763156419,"Set4","Pattern18","Mesh1"
19,-170.034617262378,"Set4","Pattern19","Mesh1"
20,-676.138785648703,"Set4","Pattern20","Mesh1"
1,-5409.64402341696,"Set1","Pattern1","Mesh10"
2,-4902.26089526341,"Set1","Pattern2","Mesh10"
3,-6085.22529067699,"Set1","Pattern3","Mesh10"
4,-6157.3633420127,"Set1","Pattern4","Mesh10"
5,-5475.9569260728,"Set1","Pattern5","Mesh10"
6,-2846.4250180425,"Set2","Pattern6","Mesh10"
7,-7918.57795988172,"Set2","Pattern7","Mesh10"
8,-5662.02238663732,"Set2","Pattern8","Mesh10"
9,-3691.86670159257,"Set2","Pattern9","Mesh10"
10,-11412.4485852603,"Set2","Pattern10","Mesh10"
11,-261.193032097936,"Set3","Pattern11","Mesh10"
12,-279.356694100456,"Set3","Pattern12","Mesh10"
13,-349.492937186006,"Set3","Pattern13","Mesh10"
14,-358.471972306924,"Set3","Pattern14","Mesh10"
15,-400.662339788757,"Set3","Pattern15","Mesh10"
16,-121.502615783493,"Set4","Pattern16","Mesh10"
17,-573.210284302413,"Set4","Pattern17","Mesh10"
18,-348.264346134685,"Set4","Pattern18","Mesh10"
19,-172.145557194073,"Set4","Pattern19","Mesh10"
20,-694.095864441406,"Set4","Pattern20","Mesh10"
1,-5421.69665814926,"Set1","Pattern1","Mesh11"
2,-4919.92712290755,"Set1","Pattern2","Mesh11"
3,-6079.82966238256,"Set1","Pattern3","Mesh11"
4,-6162.19508293985,"Set1","Pattern4","Mesh11"
5,-5460.00936438236,"Set1","Pattern5","Mesh11"
6,-2851.6790937612,"Set2","Pattern6","Mesh11"
7,-8063.00794946132,"Set2","Pattern7","Mesh11"
8,-5643.50942255194,"Set2","Pattern8","Mesh11"
9,-3712.00265105519,"Set2","Pattern9","Mesh11"
10,-11524.1731897822,"Set2","Pattern10","Mesh11"
11,-261.466024788842,"Set3","Pattern11","Mesh11"
12,-279.437919740599,"Set3","Pattern12","Mesh11"
13,-349.742031412903,"Set3","Pattern13","Mesh11"
14,-358.442071661859,"Set3","Pattern14","Mesh11"
15,-401.414383025456,"Set3","Pattern15","Mesh11"
16,-122.778094044564,"Set4","Pattern16","Mesh11"
17,-574.305285365166,"Set4","Pattern17","Mesh11"
18,-351.647552603598,"Set4","Pattern18","Mesh11"
19,-174.397910225023,"Set4","Pattern19","Mesh11"
20,-694.255188551325,"Set4","Pattern20","Mesh11"
1,-5400.7118415211,"Set1","Pattern1","Mesh12"
2,-4908.57734415521,"Set1","Pattern2","Mesh12"
3,-6057.34319869678,"Set1","Pattern3","Mesh12"
4,-6131.62390963797,"Set1","Pattern4","Mesh12"
5,-5445.72938734195,"Set1","Pattern5","Mesh12"
6,-2847.03986874224,"Set2","Pattern6","Mesh12"
7,-7949.39621341785,"Set2","Pattern7","Mesh12"
8,-5631.38850638727,"Set2","Pattern8","Mesh12"
9,-3705.89819371462,"Set2","Pattern9","Mesh12"
10,-11393.1337170423,"Set2","Pattern10","Mesh12"
11,-261.388898073327,"Set3","Pattern11","Mesh12"
12,-279.554001195933,"Set3","Pattern12","Mesh12"
13,-350.250912014286,"Set3","Pattern13","Mesh12"
14,-358.41239284104,"Set3","Pattern14","Mesh12"
15,-401.197801827172,"Set3","Pattern15","Mesh12"
16,-122.188457578859,"Set4","Pattern16","Mesh12"
17,-578.850737534964,"Set4","Pattern17","Mesh12"
18,-349.178313950305,"Set4","Pattern18","Mesh12"
19,-175.847456428054,"Set4","Pattern19","Mesh12"
20,-696.30381193755,"Set4","Pattern20","Mesh12"
1,-5435.75453568992,"Set1","Pattern1","Mesh13"
2,-4919.48623453704,"Set1","Pattern2","Mesh13"
3,-6066.21856774711,"Set1","Pattern3","Mesh13"
4,-6148.61393806725,"Set1","Pattern4","Mesh13"
5,-5485.72065989742,"Set1","Pattern5","Mesh13"
6,-2865.51582343934,"Set2","Pattern6","Mesh13"
7,-7735.46890668373,"Set2","Pattern7","Mesh13"
8,-5645.40360961058,"Set2","Pattern8","Mesh13"
9,-3692.73176565572,"Set2","Pattern9","Mesh13"
10,-11198.5801218047,"Set2","Pattern10","Mesh13"
11,-261.922415845784,"Set3","Pattern11","Mesh13"
12,-279.665724883254,"Set3","Pattern12","Mesh13"
13,-350.920115407038,"Set3","Pattern13","Mesh13"
14,-358.429648443788,"Set3","Pattern14","Mesh13"
15,-401.918602325377,"Set3","Pattern15","Mesh13"
16,-125.593440556457,"Set4","Pattern16","Mesh13"
17,-590.630317190625,"Set4","Pattern17","Mesh13"
18,-353.769710276912,"Set4","Pattern18","Mesh13"
19,-178.58270407085,"Set4","Pattern19","Mesh13"
20,-709.557694393287,"Set4","Pattern20","Mesh13"
1,-5445.20674459367,"Set1","Pattern1","Mesh14"
2,-4932.40048478147,"Set1","Pattern2","Mesh14"
3,-6065.41526820802,"Set1","Pattern3","Mesh14"
4,-6149.86601253821,"Set1","Pattern4","Mesh14"
5,-5479.50497247208,"Set1","Pattern5","Mesh14"
6,-2865.28470674887,"Set2","Pattern6","Mesh14"
7,-7733.79236460628,"Set2","Pattern7","Mesh14"
8,-5646.56385877633,"Set2","Pattern8","Mesh14"
9,-3697.60494864119,"Set2","Pattern9","Mesh14"
10,-11135.5846273347,"Set2","Pattern10","Mesh14"
11,-261.261648292422,"Set3","Pattern11","Mesh14"
12,-279.64033102732,"Set3","Pattern12","Mesh14"
13,-351.109486908178,"Set3","Pattern13","Mesh14"
14,-358.470399994943,"Set3","Pattern14","Mesh14"
15,-402.744359359647,"Set3","Pattern15","Mesh14"
16,-125.467077759499,"Set4","Pattern16","Mesh14"
17,-588.23847069602,"Set4","Pattern17","Mesh14"
18,-354.643061584991,"Set4","Pattern18","Mesh14"
19,-178.762132280285,"Set4","Pattern19","Mesh14"
20,-713.266844585545,"Set4","Pattern20","Mesh14"
1,-5458.25825072434,"Set1","Pattern1","Mesh15"
2,-4929.64144099735,"Set1","Pattern2","Mesh15"
3,-6067.51492980887,"Set1","Pattern3","Mesh15"
4,-6156.38544014519,"Set1","Pattern4","Mesh15"
5,-5477.00662290134,"Set1","Pattern5","Mesh15"
6,-2864.11853686604,"Set2","Pattern6","Mesh15"
7,-7763.34783218134,"Set2","Pattern7","Mesh15"
8,-5647.39494482378,"Set2","Pattern8","Mesh15"
9,-3705.09186390724,"Set2","Pattern9","Mesh15"
10,-11209.5972246756,"Set2","Pattern10","Mesh15"
11,-261.35617166264,"Set3","Pattern11","Mesh15"
12,-279.639964289527,"Set3","Pattern12","Mesh15"
13,-351.488546530867,"Set3","Pattern13","Mesh15"
14,-358.452914897331,"Set3","Pattern14","Mesh15"
15,-403.145810390308,"Set3","Pattern15","Mesh15"
16,-125.48257261125,"Set4","Pattern16","Mesh15"
17,-588.984399782538,"Set4","Pattern17","Mesh15"
18,-355.084963020972,"Set4","Pattern18","Mesh15"
19,-181.305897673894,"Set4","Pattern19","Mesh15"
20,-711.471481884765,"Set4","Pattern20","Mesh15"
1,-5454.7666988159,"Set1","Pattern1","Mesh16"
2,-4926.28500481795,"Set1","Pattern2","Mesh16"
3,-6074.93692655944,"Set1","Pattern3","Mesh16"
4,-6158.63876591425,"Set1","Pattern4","Mesh16"
