"X","WAIC","Set","Pattern","Mesh"
1,-4708.44722133244,"Set1","Pattern1","Mesh1"
2,-4680.22168561958,"Set1","Pattern2","Mesh1"
3,-5368.40855715717,"Set1","Pattern3","Mesh1"
4,-5489.10765705529,"Set1","Pattern4","Mesh1"
5,-4780.79902343073,"Set1","Pattern5","Mesh1"
6,-2503.70965243551,"Set2","Pattern6","Mesh1"
7,-6292.47898241025,"Set2","Pattern7","Mesh1"
8,-5029.20696586514,"Set2","Pattern8","Mesh1"
9,-3076.21701232674,"Set2","Pattern9","Mesh1"
10,-8950.63254118074,"Set2","Pattern10","Mesh1"
11,-250.82816072277,"Set3","Pattern11","Mesh1"
12,-271.529395805167,"Set3","Pattern12","Mesh1"
13,-335.235810875545,"Set3","Pattern13","Mesh1"
14,-352.328410195202,"Set3","Pattern14","Mesh1"
15,-385.482026568063,"Set3","Pattern15","Mesh1"
16,-101.77436054409,"Set4","Pattern16","Mesh1"
17,-467.937673852373,"Set4","Pattern17","Mesh1"
18,-316.119584833299,"Set4","Pattern18","Mesh1"
19,-146.504130046764,"Set4","Pattern19","Mesh1"
20,-556.511713629355,"Set4","Pattern20","Mesh1"
1,-4781.33902050654,"Set1","Pattern1","Mesh10"
2,-4585.59507535492,"Set1","Pattern2","Mesh10"
3,-5498.04622914543,"Set1","Pattern3","Mesh10"
4,-5537.6456616184,"Set1","Pattern4","Mesh10"
5,-4868.07785741596,"Set1","Pattern5","Mesh10"
6,-2611.27055906234,"Set2","Pattern6","Mesh10"
7,-6516.39498007123,"Set2","Pattern7","Mesh10"
8,-5081.09504781199,"Set2","Pattern8","Mesh10"
9,-3183.71004759993,"Set2","Pattern9","Mesh10"
10,-9303.08024994325,"Set2","Pattern10","Mesh10"
11,-254.057532417671,"Set3","Pattern11","Mesh10"
12,-275.353608509903,"Set3","Pattern12","Mesh10"
13,-340.33893209686,"Set3","Pattern13","Mesh10"
14,-354.657660658821,"Set3","Pattern14","Mesh10"
15,-394.027134953965,"Set3","Pattern15","Mesh10"
16,-110.70686816192,"Set4","Pattern16","Mesh10"
17,-501.955936277482,"Set4","Pattern17","Mesh10"
18,-326.036630020002,"Set4","Pattern18","Mesh10"
19,-156.723646728279,"Set4","Pattern19","Mesh10"
20,-600.814303503799,"Set4","Pattern20","Mesh10"
1,-4774.87130500452,"Set1","Pattern1","Mesh11"
2,-4419.12212397998,"Set1","Pattern2","Mesh11"
3,-5455.09595496453,"Set1","Pattern3","Mesh11"
4,-5503.82307064996,"Set1","Pattern4","Mesh11"
5,-4891.90437804764,"Set1","Pattern5","Mesh11"
6,-2606.3660445679,"Set2","Pattern6","Mesh11"
7,-6482.99358047303,"Set2","Pattern7","Mesh11"
8,-5124.02696062841,"Set2","Pattern8","Mesh11"
9,-3200.33356148952,"Set2","Pattern9","Mesh11"
10,-9203.43856830951,"Set2","Pattern10","Mesh11"
11,-254.649935321979,"Set3","Pattern11","Mesh11"
12,-274.55331635858,"Set3","Pattern12","Mesh11"
13,-339.09761988385,"Set3","Pattern13","Mesh11"
14,-354.581252167815,"Set3","Pattern14","Mesh11"
15,-389.355190793313,"Set3","Pattern15","Mesh11"
16,-112.013701465437,"Set4","Pattern16","Mesh11"
17,-500.689555417574,"Set4","Pattern17","Mesh11"
18,-328.953642704248,"Set4","Pattern18","Mesh11"
19,-159.552676263687,"Set4","Pattern19","Mesh11"
20,-593.358557492808,"Set4","Pattern20","Mesh11"
1,-4817.48772645203,"Set1","Pattern1","Mesh12"
2,-4464.71434261068,"Set1","Pattern2","Mesh12"
3,-5500.00148179596,"Set1","Pattern3","Mesh12"
4,-5493.47611347658,"Set1","Pattern4","Mesh12"
5,-4921.62971759281,"Set1","Pattern5","Mesh12"
6,-2634.47731051073,"Set2","Pattern6","Mesh12"
7,-6556.18021306721,"Set2","Pattern7","Mesh12"
8,-5161.6105981218,"Set2","Pattern8","Mesh12"
9,-3220.53810869246,"Set2","Pattern9","Mesh12"
10,-9332.36357962357,"Set2","Pattern10","Mesh12"
11,-255.262836993253,"Set3","Pattern11","Mesh12"
12,-274.904144325244,"Set3","Pattern12","Mesh12"
13,-338.789646574056,"Set3","Pattern13","Mesh12"
14,-355.004355436857,"Set3","Pattern14","Mesh12"
15,-391.438308456836,"Set3","Pattern15","Mesh12"
16,-112.833043183641,"Set4","Pattern16","Mesh12"
17,-509.813570915776,"Set4","Pattern17","Mesh12"
18,-330.660081419501,"Set4","Pattern18","Mesh12"
19,-159.834065619976,"Set4","Pattern19","Mesh12"
20,-601.666425651391,"Set4","Pattern20","Mesh12"
1,-4947.35286444082,"Set1","Pattern1","Mesh13"
2,-4650.2360177538,"Set1","Pattern2","Mesh13"
3,-5680.63609990011,"Set1","Pattern3","Mesh13"
4,-5636.56600849216,"Set1","Pattern4","Mesh13"
5,-4990.2400110952,"Set1","Pattern5","Mesh13"
6,-2728.58570017433,"Set2","Pattern6","Mesh13"
7,-6875.90341674494,"Set2","Pattern7","Mesh13"
8,-5315.78567325589,"Set2","Pattern8","Mesh13"
9,-3376.58110754745,"Set2","Pattern9","Mesh13"
10,-9694.19313507827,"Set2","Pattern10","Mesh13"
